1	kanakangi / kanakambari
2	ratnangi / phenadyuti

	revati

3	ganamurti / ganasamavarali

	ganamurti

4	vanaspati / bhanumati
5	manavati / manoranjani
6	tanarupi / tanukirti
7	senavati /senagrani
8	hanumatodi / janatodi

	asaveri
	bhoopalam
	dhanyashi
	ghanta
	punnagavarali
	sindhubhairavi
	todi

9	dhenuka / dhunibhinnashadjam

	dhenuka

10	natakapriya / natabharnam
11	kokilapriya / kokilaravam
12	rupavati
13	gayakapriya / geyahajjajji
14	vakulabharanam / vativasantabhairavi

	ahiri

15	mayamalavagowla
	
	bowli
	gowla
	jaganmohini
	lalita
	nadanamakriya
	mayamalavagowla
	paras/paraju
	saveri

16	chakravakam / toyavegavahini

	bindumalini
	chakravakam
	malayamrutam

17	suryakantam / chayavati
	
	sourashtram
	vasanta

18	hatakambari / jayashuddhamalavi
19	jhankaradhvani / jhankarabhramari
20	nathabhairavi / nariritigowla
	
	anandabhairavi
	bhairavi
	darbari kanada
	dhanashri
	hindolam
	jonpuri
	nagagandhari
	nathabhairavi

21	kiravani / kirnavali

	chandrakouns
	kalyanavasantam
	kirvani

22	kharaharapriya
	
	abheri / bhimpalasi
	abhogi
	atana
	andolika
	bhageshri
	brindavana saranga
	chittaranjani
	darbar
	devamanohari
	huseni
	kapi
	karnataka kapi
	karnataka devagandhari
	kanada
	kannadagowla
	kharaharapriya
	madhyamavati
	manirangu
	mukhari
	nayaki
	ritigowla
	shuddha dhanyashi
	shri
	shriranjani


23	gowrimanohari / gowrivelavali
24	varunapriya / viravasantam
25	mararanjani / sharavati
26	charukeshi / tarangini

	charukeshi

27	sarasangi / sowrasena
	
	kamalamanohari
	nalinakanti
	sarasangi

28	harikambhoji / harikedaragowla
	
	bahudari
	begada
	desh
	dvijavanti
	harikambhoji
	kambhoji
	ishamanohari
	kamas
	kedaragowla
	kuntalavarali
	mohanam
	nattakurinji
	sahana
	sama / shyama
	senjurutti
	surutti
	yadukulakambhoji

29	dhirashankarabharanam
	
	arabi
	behag
	bilahari
	devagandhari
	hamsadhwani
	kadanakutuhalam
	kedaram
	kurinji
	navaroj
	nilambari
	poornachandrika
	shankarabharanam
	shuddha saveri

30	naganandini / nagabharnam
31	yagapriya / kalavati
32	ragavardhani / ragachudamani
33	gangeyabhushani / gangatarangini
34	vagadhishvari / bhogachayanattai
35	shulini / shailadeshakshi
36	chalanata

	gambhiranattai
	nattai

37	salagam / sowgandhini
38	jalarnavam / jaganmohinam
39	jhalavarali / dhalivarali

	varali

40	navanitam /nabhomani
41	pavani / kumbhini
42	raghupriya / ravikriya
43	gavambodhi / geervani
44	bhavapriya / bhavani
45	shubhapantuvarali / shivapantuvarali

	shubhapantuvarali

46	shadhvidhamargini / sthavarajam
47	suvarnangi / sowviram
48	divyamani / jeevantika
49	dhavalambari / dhavalangam
50	namanarayani / namadeshi
51	kamavardhini / kashiramakriya

	pantuvarali

52	ramapriya / ramamanohari

	ramapriya / ramamanohari

53	gamanashrama / gamakakriya

	hamsanandi
	poorvikalyani

54	vishvambhari / vamshavati
55	shyamalangi / shyamalam
56	shanmukhapriya / chamaram

	shanmukhapriya

57	simhendramadhyamam / sumadhyuti

	simhendramadhyamam

58	hemavati / deshisimharavam
59	dharmavati / dhamavati
60	nitimati / nishadam

	hamsanandam

61	kantamani / kuntalam
62	rishabhapriya / ratipriya
63	latangi / gitapriya

	latangi

64	vachaspati / bhushavati
65	mechakalyani / shantakalyani
	
	hamir kalyani
	kalyani
	mohanakalyani
	yamunakalyani

66	chitrambari / chaturangini
67	sucharitra / santanamanjari
68	jyotisvarupini / jyoti
69	dhatuvardhani / dhowtapanchamam
70	nasikabhushani / nasamani
71	kosalam / kusumakaram
72	rasikapriya / rasamanjari

ragamalika


Alphabetical:


abheri / bhimpalasi
abhogi
ahiri
anandabhairavi
andolika
arabi
asaveri
atana
bahudari
begada
behag
bhageshri
bhairavi
bhoopalam
bilahari
bindumalini
bowli
brindavana saranga
chakravakam
chandrakouns
charukeshi
chittaranjani
darbar
darbari kanada
desh
devagandhari
devamanohari
dhanashri
dhanyashi
dhenuka
dvijavanti
gambhiranattai
ganamurti
ghanta
gowla
hamir kalyani
hamsadhwani
hamsanandam
hamsanandi
harikambhoji
hindolam
huseni
ishamanohari
jaganmohini
jonpuri
kadanakutuhalam
kalyanavasantam
kalyani
kamalamanohari
kamas
kambhoji
kanada
kannadagowla
kapi
karnataka devagandhari
karnataka kapi
kedaragowla
kedaram
kharaharapriya
kirvani
kuntalavarali
kurinji
lalita
latangi
madhyamavati
malayamrutam
manirangu
mayamalavagowla
mohanakalyani
mohanam
mukhari
nadanamakriya
nagagandhari
nalinakanti
nathabhairavi
nattai
nattakurinji
navaroj
nayaki
nilambari
pantuvarali
paras/paraju
poornachandrika
poorvikalyani
punnagavarali
ragamalika
ramapriya / ramamanohari
revati
ritigowla
sahana
sama / shyama
sarasangi
saveri
senjurutti
shankarabharanam
shanmukhapriya
shri
shriranjani
shubhapantuvarali
shuddha dhanyashi
shuddha saveri
simhendramadhyamam
sindhubhairavi
sourashtram
surutti
todi
varali
vasanta
yadukulakambhoji
yamunakalyani
